card_number,first_name,father_name,grandfather_name,sex,phone,dob_ec,age,city,address,registered_at
542,Lidya,Habtamu,Alemu,Female,0736186371,,43,Bishoftu,"Akaki, Woreda 11, House 917",
543,Fikru,Alemu,Desta,Male,0997023164,,27,Bahir Dar,"Lideta, Woreda 11, House 537",
544,Habtamu,Mekonnen,Girma,Male,0956621286,,62,Sodo,"Kirkos, Woreda 7, House 979",
545,Rahel,Kebede,Girma,Female,0972994938,,92,Shashemene,"Akaki, Woreda 5, House 207",
546,Getachew,Desta,Wolde,Male,0938597779,,6,Sodo,"Kirkos, Woreda 5, House 662",
547,Rahel,Tadesse,Getachew,Female,0926329676,,85,Hawassa,"Addis Ketema, Woreda 2, House 403",
548,Bethlehem,Assefa,Negash,Female,0984137681,,48,Adama,"Kirkos, Woreda 9, House 785",
549,Girma,Bekele,Girma,Male,0907017656,,25,Gondar,"Bole, Woreda 1, House 257",
550,Alemu,Tesfaye,Habtamu,Male,0911837274,,21,Hawassa,"Bole, Woreda 10, House 103",
551,Getachew,Tadesse,Gebre,Male,0904275230,,87,Dessie,"Arada, Woreda 8, House 714",
552,Tigist,Kebede,Negash,Female,0947090063,,32,Dire Dawa,"Arada, Woreda 4, House 94",
553,Abel,Mekonnen,Lemma,Male,0931312206,,66,Adama,"Gulele, Woreda 6, House 576",
554,Fikru,Mekonnen,Desta,Male,0961331552,,2,Gondar,"Gulele, Woreda 1, House 399",
555,Girma,Mulugeta,Bekele,Male,0950136497,,14,Sodo,"Nifas Silk, Woreda 10, House 176",
556,Lidya,Gebre,Getachew,Female,0925257150,,78,Debre Markos,"Addis Ketema, Woreda 8, House 392",
557,Sara,Mekonnen,Girma,Female,0991436391,,8,Hawassa,"Gulele, Woreda 8, House 304",
558,Yonas,Assefa,Assefa,Male,0997524508,,54,Shashemene,"Lideta, Woreda 1, House 235",
559,Fikru,Mekonnen,Tadesse,Male,0933968527,,81,Addis Ababa,"Kirkos, Woreda 8, House 72",
560,Selam,Mekonnen,Getachew,Female,0721298338,,11,Gondar,"Akaki, Woreda 5, House 169",
561,Nahom,Negash,Gebre,Male,0949734715,,51,Gondar,"Yeka, Woreda 8, House 452",
562,Mahlet,Desta,Habtamu,Female,0770661498,,20,Dessie,"Yeka, Woreda 5, House 390",
563,Getachew,Wolde,Abebe,Male,0971527323,,1,Addis Ababa,"Nifas Silk, Woreda 12, House 743",
564,Bekele,Negash,Mulugeta,Male,0756749160,,16,Gondar,"Addis Ketema, Woreda 3, House 199",
565,Hewan,Kebede,Girma,Female,0975066337,,5,Debre Markos,"Gulele, Woreda 11, House 724",
566,Alemu,Worku,Alemu,Male,0724399201,,12,Shashemene,"Kolfe, Woreda 7, House 724",
567,Marta,Alemu,Bekele,Female,0726448869,,40,Sodo,"Kolfe, Woreda 12, House 891",
568,Hewan,Habtamu,Negash,Female,0743640270,,13,Adama,"Kolfe, Woreda 9, House 427",
569,Tadesse,Tesfaye,Mekonnen,Male,0923728179,,28,Hawassa,"Arada, Woreda 1, House 768",
570,Bekele,Getachew,Abebe,Male,0991214161,,36,Adama,"Gulele, Woreda 1, House 600",
571,Bereket,Abebe,Abebe,Male,0940901380,,49,Bishoftu,"Nifas Silk, Woreda 5, House 955",
572,Yodit,Desta,Hailu,Female,0955535669,,8,Dire Dawa,"Gulele, Woreda 2, House 4",
573,Selam,Assefa,Kebede,Female,0918435797,,66,Gondar,"Arada, Woreda 1, House 654",
574,Meron,Bekele,Hailu,Female,0757397691,,45,Gondar,"Akaki, Woreda 11, House 878",
575,Kebede,Desta,Bekele,Male,0789802714,,87,Dessie,"Akaki, Woreda 3, House 918",
576,Fikru,Mulugeta,Abebe,Male,0932116025,,50,Arba Minch,"Lideta, Woreda 4, House 737",
577,Tigist,Hailu,Tekle,Female,0987153991,,83,Dire Dawa,"Kolfe, Woreda 12, House 761",
578,Mahlet,Bekele,Worku,Female,0734141115,,95,Bishoftu,"Arada, Woreda 12, House 965",
579,Mekonnen,Girma,Gebre,Male,0790409836,,55,Dire Dawa,"Gulele, Woreda 11, House 957",
580,Tsion,Habtamu,Girma,Female,0960875243,,64,Shashemene,"Akaki, Woreda 3, House 616",
581,Meron,Assefa,Girma,Female,0948149737,,38,Sodo,"Kolfe, Woreda 1, House 830",
582,Marta,Abebe,Wolde,Female,0730276420,,71,Gondar,"Gulele, Woreda 7, House 695",
583,Lidya,Desta,Tesfaye,Female,0944386125,,75,Harar,"Bole, Woreda 12, House 312",
584,Frehiwot,Negash,Tesfaye,Female,0942333059,,14,Shashemene,"Yeka, Woreda 7, House 974",
585,Tigist,Bekele,Getachew,Female,0972018596,,20,Shashemene,"Kolfe, Woreda 4, House 35",
586,Solomon,Abebe,Gebre,Male,0926176475,,2,Adama,"Kirkos, Woreda 2, House 125",
587,Eyob,Girma,Bekele,Male,0997419267,,83,Sodo,"Kolfe, Woreda 5, House 586",
588,Fikru,Bekele,Tesfaye,Male,0906888718,,75,Dessie,"Kirkos, Woreda 4, House 989",
589,Bethlehem,Bekele,Gebre,Female,0975102932,,12,Dessie,"Lideta, Woreda 1, House 87",
590,Fikru,Gebre,Wolde,Male,0903408487,,18,Bishoftu,"Akaki, Woreda 12, House 321",
591,Rediet,Wolde,Mulugeta,Female,0910303243,,18,Bishoftu,"Nifas Silk, Woreda 4, House 606",
592,Nahom,Tekle,Mekonnen,Male,0984462671,,33,Shashemene,"Kolfe, Woreda 12, House 147",
593,Girma,Lemma,Getachew,Male,0735989262,,41,Arba Minch,"Kolfe, Woreda 7, House 27",
594,Bereket,Bekele,Hailu,Male,0986151554,,19,Harar,"Arada, Woreda 5, House 11",
595,Aster,Mulugeta,Lemma,Female,0911284971,,68,Dire Dawa,"Addis Ketema, Woreda 5, House 565",
596,Yonas,Gebre,Girma,Male,0962588967,,76,Hawassa,"Lideta, Woreda 1, House 704",
597,Selam,Mulugeta,Negash,Female,0940539672,,57,Dire Dawa,"Akaki, Woreda 9, House 294",
598,Aster,Habtamu,Tekle,Female,0914651113,,12,Hawassa,"Addis Ketema, Woreda 1, House 87",
599,Sara,Kebede,Negash,Female,0768277881,,52,Addis Ababa,"Addis Ketema, Woreda 4, House 933",
600,Hewan,Wolde,Tadesse,Female,0989097283,,23,Adama,"Gulele, Woreda 3, House 527",
601,Getachew,Worku,Hailu,Male,0915381447,,38,Mekelle,"Arada, Woreda 1, House 756",
602,Solomon,Bekele,Kebede,Male,0780797050,,79,Jimma,"Gulele, Woreda 5, House 363",
603,Samuel,Girma,Mulugeta,Male,0901673188,,20,Gondar,"Kirkos, Woreda 8, House 8",
604,Getachew,Kebede,Wolde,Male,0956284177,,21,Hawassa,"Gulele, Woreda 12, House 445",
605,Marta,Bekele,Negash,Female,0940266502,,86,Bahir Dar,"Akaki, Woreda 11, House 273",
606,Mulugeta,Kebede,Getachew,Male,0725686211,,3,Hawassa,"Yeka, Woreda 6, House 513",
607,Mekonnen,Gebre,Tesfaye,Male,0990674471,,55,Bahir Dar,"Addis Ketema, Woreda 3, House 747",
608,Bereket,Girma,Getachew,Male,0736371892,,25,Harar,"Addis Ketema, Woreda 11, House 650",
609,Getachew,Getachew,Getachew,Male,0932609310,,49,Gondar,"Nifas Silk, Woreda 5, House 717",
610,Mulugeta,Tadesse,Tesfaye,Male,0960414545,,92,Gondar,"Arada, Woreda 6, House 917",
611,Yonas,Habtamu,Bekele,Male,0953474916,,24,Mekelle,"Akaki, Woreda 6, House 343",
612,Abel,Hailu,Alemu,Male,0925559895,,31,Shashemene,"Lideta, Woreda 4, House 599",
613,Selam,Abebe,Mekonnen,Female,0991093371,,10,Dessie,"Addis Ketema, Woreda 6, House 309",
614,Selam,Abebe,Negash,Female,0936848557,,81,Sodo,"Kirkos, Woreda 7, House 70",
615,Rediet,Tekle,Gebre,Female,0729424090,,89,Bahir Dar,"Kolfe, Woreda 8, House 702",
616,Bethlehem,Worku,Kebede,Female,0986866943,,24,Addis Ababa,"Yeka, Woreda 10, House 224",
617,Rediet,Habtamu,Tadesse,Female,0984434481,,22,Bahir Dar,"Bole, Woreda 9, House 244",
618,Genet,Tekle,Mulugeta,Female,0740338105,,81,Bishoftu,"Gulele, Woreda 6, House 86",
619,Mahlet,Worku,Bekele,Female,0745005342,,33,Addis Ababa,"Nifas Silk, Woreda 11, House 889",
620,Lidya,Getachew,Negash,Female,0749837354,,27,Bishoftu,"Kolfe, Woreda 3, House 457",
621,Mulugeta,Tesfaye,Hailu,Male,0927223972,,83,Mekelle,"Bole, Woreda 5, House 167",
622,Marta,Hailu,Hailu,Female,0916376182,,94,Arba Minch,"Bole, Woreda 10, House 103",
623,Abel,Assefa,Alemu,Male,0702314290,,2,Arba Minch,"Kirkos, Woreda 9, House 754",
624,Mulugeta,Bekele,Kebede,Male,0772457230,,70,Sodo,"Lideta, Woreda 11, House 557",
625,Tigist,Habtamu,Getachew,Female,0918620303,,55,Gondar,"Yeka, Woreda 6, House 672",
626,Lidya,Alemu,Tadesse,Female,0917213145,,10,Bishoftu,"Gulele, Woreda 2, House 370",
627,Bethlehem,Abebe,Wolde,Female,0959262494,,45,Debre Markos,"Kirkos, Woreda 5, House 939",
628,Hana,Girma,Alemu,Female,0722526771,,15,Bishoftu,"Kolfe, Woreda 12, House 286",
629,Henok,Getachew,Hailu,Male,0965576769,,82,Dire Dawa,"Yeka, Woreda 11, House 944",
630,Mulugeta,Getachew,Wolde,Male,0978836196,,68,Bishoftu,"Arada, Woreda 12, House 90",
631,Abel,Mekonnen,Getachew,Male,0972105524,,59,Hawassa,"Nifas Silk, Woreda 7, House 249",
632,Henok,Girma,Wolde,Male,0926065019,,10,Jimma,"Addis Ketema, Woreda 3, House 31",
633,Tesfaye,Kebede,Habtamu,Male,0996227284,,61,Gondar,"Gulele, Woreda 8, House 801",
634,Yonas,Mulugeta,Worku,Male,0709282066,,88,Debre Markos,"Akaki, Woreda 9, House 729",
635,Aster,Tekle,Lemma,Female,0924186236,,80,Addis Ababa,"Arada, Woreda 7, House 189",
636,Frehiwot,Assefa,Kebede,Female,0966205634,,14,Adama,"Kirkos, Woreda 6, House 618",
637,Samuel,Alemu,Worku,Male,0913904383,,82,Debre Markos,"Bole, Woreda 4, House 276",
638,Tsion,Hailu,Wolde,Female,0770051405,,37,Gondar,"Nifas Silk, Woreda 4, House 323",
639,Tigist,Girma,Desta,Female,0981820967,,76,Harar,"Bole, Woreda 5, House 166",
640,Dawit,Wolde,Lemma,Male,0733228898,,44,Jimma,"Yeka, Woreda 6, House 298",
641,Mahlet,Habtamu,Tekle,Female,0963399129,,81,Jimma,"Kirkos, Woreda 1, House 147",
642,Hana,Desta,Mulugeta,Female,0975242149,,47,Dire Dawa,"Kirkos, Woreda 2, House 184",
643,Genet,Desta,Wolde,Female,0772197054,,52,Gondar,"Addis Ketema, Woreda 11, House 133",
644,Yodit,Tekle,Kebede,Female,0751687409,,83,Addis Ababa,"Arada, Woreda 12, House 841",
645,Bereket,Desta,Bekele,Male,0929613671,,45,Jimma,"Akaki, Woreda 11, House 548",
646,Bereket,Abebe,Bekele,Male,0766365155,,78,Jimma,"Arada, Woreda 12, House 760",
647,Yonas,Mekonnen,Tadesse,Male,0972359096,,8,Debre Markos,"Gulele, Woreda 7, House 485",
648,Abel,Negash,Gebre,Male,0764421214,,52,Adama,"Lideta, Woreda 12, House 463",
649,Girma,Tesfaye,Negash,Male,0901654235,,54,Jimma,"Akaki, Woreda 9, House 706",
650,Eyob,Desta,Girma,Male,0908931992,,42,Shashemene,"Gulele, Woreda 1, House 155",
651,Mekonnen,Negash,Tekle,Male,0964807279,,13,Addis Ababa,"Arada, Woreda 12, House 193",
652,Yodit,Bekele,Abebe,Female,0953390550,,39,Debre Markos,"Lideta, Woreda 9, House 839",
653,Frehiwot,Lemma,Tesfaye,Female,0955868512,,59,Gondar,"Gulele, Woreda 3, House 567",
654,Lidya,Lemma,Tekle,Female,0964911110,,79,Debre Markos,"Kolfe, Woreda 2, House 509",
655,Alemu,Desta,Negash,Male,0904633786,,15,Bahir Dar,"Akaki, Woreda 2, House 360",
656,Lidya,Kebede,Kebede,Female,0953844446,,87,Bahir Dar,"Bole, Woreda 7, House 34",
657,Tadesse,Hailu,Tadesse,Male,0789552963,,72,Gondar,"Arada, Woreda 10, House 660",
658,Tsion,Worku,Hailu,Female,0962658263,,13,Sodo,"Yeka, Woreda 9, House 122",
659,Genet,Lemma,Tekle,Female,0725311060,,81,Arba Minch,"Addis Ketema, Woreda 3, House 29",
660,Hana,Hailu,Mulugeta,Female,0902752334,,25,Dessie,"Arada, Woreda 12, House 799",
661,Genet,Tesfaye,Alemu,Female,0920911791,,14,Hawassa,"Lideta, Woreda 5, House 917",
662,Tadesse,Hailu,Assefa,Male,0736170617,,81,Adama,"Arada, Woreda 11, House 430",
663,Frehiwot,Tekle,Kebede,Female,0724029901,,44,Dire Dawa,"Akaki, Woreda 10, House 615",
664,Girma,Mekonnen,Kebede,Male,0739080882,,28,Harar,"Gulele, Woreda 2, House 921",
665,Tesfaye,Abebe,Negash,Male,0924473158,,84,Mekelle,"Akaki, Woreda 12, House 829",
666,Lidya,Negash,Desta,Female,0742346199,,40,Hawassa,"Arada, Woreda 12, House 500",
667,Girma,Tadesse,Gebre,Male,0791966395,,48,Debre Markos,"Kirkos, Woreda 8, House 172",
668,Bekele,Wolde,Wolde,Male,0985601256,,24,Dire Dawa,"Arada, Woreda 2, House 221",
669,Mekonnen,Mekonnen,Gebre,Male,0950537953,,72,Adama,"Kolfe, Woreda 5, House 617",
670,Fikru,Mulugeta,Negash,Male,0991966553,,26,Addis Ababa,"Akaki, Woreda 8, House 48",
671,Alemu,Desta,Habtamu,Male,0959639040,,83,Arba Minch,"Addis Ketema, Woreda 1, House 934",
672,Getachew,Wolde,Hailu,Male,0988050171,,54,Sodo,"Lideta, Woreda 5, House 325",
673,Mekonnen,Kebede,Girma,Male,0906477159,,14,Addis Ababa,"Arada, Woreda 1, House 846",
674,Mekonnen,Tadesse,Bekele,Male,0763213580,,89,Harar,"Bole, Woreda 5, House 905",
675,Solomon,Worku,Negash,Male,0959642297,,16,Hawassa,"Gulele, Woreda 3, House 772",
676,Tigist,Wolde,Tekle,Female,0939774573,,12,Mekelle,"Lideta, Woreda 12, House 85",
677,Aster,Bekele,Assefa,Female,0931170303,,60,Harar,"Kolfe, Woreda 4, House 500",
678,Eyob,Desta,Lemma,Male,0785472812,,29,Debre Markos,"Gulele, Woreda 7, House 999",
679,Lidya,Desta,Tesfaye,Female,0946249127,,14,Sodo,"Kirkos, Woreda 4, House 17",
680,Mulugeta,Gebre,Assefa,Male,0975418156,,28,Hawassa,"Kolfe, Woreda 9, House 442",
681,Girma,Gebre,Negash,Male,0906634362,,77,Mekelle,"Nifas Silk, Woreda 10, House 506",
682,Yonas,Lemma,Hailu,Male,0913100943,,9,Dessie,"Kirkos, Woreda 5, House 232",
683,Bereket,Gebre,Lemma,Male,0947323549,,37,Sodo,"Bole, Woreda 2, House 190",
684,Solomon,Kebede,Tesfaye,Male,0732512257,,19,Addis Ababa,"Akaki, Woreda 7, House 343",
685,Hana,Habtamu,Getachew,Female,0909579073,,61,Adama,"Bole, Woreda 1, House 581",
686,Bethlehem,Desta,Kebede,Female,0711457758,,33,Shashemene,"Akaki, Woreda 5, House 374",
687,Rahel,Wolde,Abebe,Female,0789714802,,53,Harar,"Arada, Woreda 11, House 146",
688,Eyob,Gebre,Tesfaye,Male,0765313614,,81,Shashemene,"Nifas Silk, Woreda 8, House 982",
689,Tadesse,Negash,Desta,Male,0769644309,,67,Sodo,"Gulele, Woreda 10, House 126",
690,Hewan,Habtamu,Alemu,Female,0907272849,,72,Shashemene,"Yeka, Woreda 5, House 499",
691,Sara,Girma,Wolde,Female,0934910740,,56,Dire Dawa,"Bole, Woreda 1, House 258",
692,Rediet,Wolde,Getachew,Female,0982142369,,11,Mekelle,"Arada, Woreda 1, House 485",
693,Lidya,Mekonnen,Mulugeta,Female,0914494296,,87,Debre Markos,"Gulele, Woreda 10, House 143",
694,Fikru,Assefa,Gebre,Male,0941497826,,56,Adama,"Yeka, Woreda 9, House 453",
695,Hewan,Habtamu,Getachew,Female,0967667080,,54,Adama,"Yeka, Woreda 10, House 929",
696,Hewan,Tadesse,Alemu,Female,0989406260,,60,Arba Minch,"Nifas Silk, Woreda 8, House 860",
697,Bereket,Gebre,Girma,Male,0914975019,,87,Dessie,"Bole, Woreda 12, House 210",
698,Kalkidan,Bekele,Gebre,Female,0924407931,,9,Addis Ababa,"Yeka, Woreda 10, House 902",
699,Kebede,Lemma,Desta,Male,0908760146,,62,Hawassa,"Arada, Woreda 9, House 267",
700,Yodit,Bekele,Worku,Female,0920223288,,26,Jimma,"Akaki, Woreda 5, House 297",
701,Girma,Habtamu,Tadesse,Male,0917662047,,16,Bishoftu,"Kolfe, Woreda 1, House 595",
702,Yodit,Gebre,Hailu,Female,0952774025,,65,Harar,"Nifas Silk, Woreda 4, House 358",
703,Bethlehem,Abebe,Lemma,Female,0959572446,,9,Debre Markos,"Akaki, Woreda 7, House 986",
704,Tsion,Kebede,Tesfaye,Female,0788425995,,75,Bishoftu,"Kolfe, Woreda 2, House 47",
705,Bereket,Tadesse,Alemu,Male,0975331266,,9,Addis Ababa,"Addis Ketema, Woreda 5, House 118",
706,Tadesse,Desta,Habtamu,Male,0902517629,,72,Bahir Dar,"Arada, Woreda 5, House 503",
707,Samuel,Negash,Worku,Male,0983190130,,18,Debre Markos,"Bole, Woreda 6, House 793",
708,Hana,Alemu,Desta,Female,0987339785,,46,Bishoftu,"Nifas Silk, Woreda 3, House 821",
709,Getachew,Kebede,Getachew,Male,0791284117,,30,Addis Ababa,"Addis Ketema, Woreda 9, House 339",
710,Rahel,Habtamu,Hailu,Female,0746512418,,74,Bahir Dar,"Nifas Silk, Woreda 10, House 513",
711,Saba,Mekonnen,Tekle,Female,0919740056,,34,Bahir Dar,"Gulele, Woreda 1, House 143",
712,Eden,Alemu,Tekle,Female,0703719905,,10,Gondar,"Addis Ketema, Woreda 12, House 628",
713,Henok,Tadesse,Kebede,Male,0901078356,,62,Mekelle,"Arada, Woreda 1, House 954",
714,Marta,Bekele,Desta,Female,0960870662,,56,Sodo,"Kolfe, Woreda 9, House 142",
715,Nahom,Tekle,Worku,Male,0755356033,,12,Bishoftu,"Bole, Woreda 4, House 423",
716,Abel,Getachew,Habtamu,Male,0730102724,,6,Dire Dawa,"Gulele, Woreda 10, House 671",
717,Getachew,Tekle,Habtamu,Male,0911148375,,29,Jimma,"Lideta, Woreda 6, House 799",
718,Aster,Mekonnen,Girma,Female,0945881056,,91,Bishoftu,"Akaki, Woreda 5, House 81",
719,Rediet,Abebe,Tadesse,Female,0983152037,,84,Arba Minch,"Akaki, Woreda 2, House 22",
720,Eyob,Hailu,Tesfaye,Male,0910496706,,50,Jimma,"Bole, Woreda 4, House 211",
721,Saba,Lemma,Negash,Female,0940850954,,76,Bahir Dar,"Bole, Woreda 6, House 744",
722,Meron,Getachew,Girma,Female,0786487699,,67,Mekelle,"Yeka, Woreda 7, House 479",
723,Genet,Mulugeta,Lemma,Female,0741384596,,5,Bishoftu,"Lideta, Woreda 6, House 276",
724,Solomon,Tekle,Mekonnen,Male,0954277070,,60,Addis Ababa,"Gulele, Woreda 8, House 654",
725,Eyob,Tesfaye,Girma,Male,0749851724,,36,Mekelle,"Akaki, Woreda 3, House 233",
726,Meron,Mulugeta,Kebede,Female,0902879508,,92,Bahir Dar,"Bole, Woreda 12, House 266",
727,Hewan,Assefa,Worku,Female,0909351187,,15,Dessie,"Kirkos, Woreda 4, House 209",
728,Bekele,Habtamu,Lemma,Male,0964205955,,53,Debre Markos,"Gulele, Woreda 8, House 966",
729,Tadesse,Wolde,Mekonnen,Male,0929019358,,92,Arba Minch,"Nifas Silk, Woreda 10, House 730",
730,Eyob,Bekele,Gebre,Male,0926113989,,81,Dessie,"Kolfe, Woreda 9, House 751",
731,Yodit,Desta,Assefa,Female,0988754394,,32,Dire Dawa,"Arada, Woreda 6, House 237",
732,Tigist,Desta,Negash,Female,0976515881,,47,Shashemene,"Akaki, Woreda 10, House 236",
733,Henok,Gebre,Girma,Male,0736929445,,41,Adama,"Kirkos, Woreda 7, House 432",
734,Marta,Tesfaye,Alemu,Female,0770216487,,13,Hawassa,"Bole, Woreda 7, House 25",
735,Habtamu,Lemma,Bekele,Male,0765268341,,44,Debre Markos,"Gulele, Woreda 10, House 624",
736,Meron,Girma,Kebede,Female,0957676472,,94,Hawassa,"Addis Ketema, Woreda 9, House 86",
737,Hewan,Tadesse,Worku,Female,0976572894,,13,Bahir Dar,"Lideta, Woreda 8, House 350",
738,Rediet,Mulugeta,Worku,Female,0964565220,,95,Debre Markos,"Arada, Woreda 7, House 532",
739,Eden,Bekele,Getachew,Female,0942144773,,22,Mekelle,"Lideta, Woreda 10, House 772",
740,Selam,Mekonnen,Habtamu,Female,0988209088,,25,Addis Ababa,"Akaki, Woreda 1, House 379",
741,Tsion,Girma,Mulugeta,Female,0978274117,,56,Jimma,"Lideta, Woreda 2, House 886",
742,Tigist,Alemu,Assefa,Female,0713152854,,59,Shashemene,"Nifas Silk, Woreda 11, House 796",
743,Meron,Mulugeta,Abebe,Female,0985380032,,76,Gondar,"Arada, Woreda 11, House 201",
744,Samuel,Tesfaye,Tadesse,Male,0742318306,,9,Jimma,"Nifas Silk, Woreda 10, House 214",
745,Girma,Hailu,Lemma,Male,0993578243,,38,Shashemene,"Akaki, Woreda 8, House 816",
746,Mulugeta,Bekele,Wolde,Male,0931467536,,15,Hawassa,"Akaki, Woreda 6, House 677",
747,Selam,Assefa,Mulugeta,Female,0777963044,,65,Bahir Dar,"Kolfe, Woreda 1, House 576",
748,Mahlet,Negash,Getachew,Female,0976640473,,44,Shashemene,"Bole, Woreda 5, House 459",
749,Bethlehem,Assefa,Wolde,Female,0919952980,,93,Addis Ababa,"Kolfe, Woreda 2, House 800",
750,Saba,Tesfaye,Wolde,Female,0908358328,,51,Harar,"Arada, Woreda 5, House 821",
751,Kebede,Kebede,Getachew,Male,0930008186,,63,Addis Ababa,"Yeka, Woreda 5, House 309",
752,Aster,Tekle,Lemma,Female,0916624111,,65,Sodo,"Kolfe, Woreda 1, House 16",
753,Tigist,Mulugeta,Worku,Female,0763945680,,39,Mekelle,"Akaki, Woreda 4, House 103",
754,Solomon,Hailu,Wolde,Male,0936847488,,32,Gondar,"Bole, Woreda 8, House 746",
755,Tigist,Alemu,Bekele,Female,0990637579,,14,Shashemene,"Lideta, Woreda 6, House 148",
756,Marta,Abebe,Mulugeta,Female,0779312697,,67,Sodo,"Addis Ketema, Woreda 4, House 61",
757,Mekonnen,Assefa,Getachew,Male,0705996043,,72,Arba Minch,"Akaki, Woreda 9, House 512",
758,Mulugeta,Desta,Bekele,Male,0911616202,,67,Sodo,"Kirkos, Woreda 3, House 203",
759,Bekele,Mulugeta,Gebre,Male,0987286604,,16,Gondar,"Lideta, Woreda 12, House 945",
760,Tadesse,Assefa,Girma,Male,0922483958,,78,Mekelle,"Akaki, Woreda 8, House 216",
761,Mulugeta,Assefa,Bekele,Male,0962271043,,26,Sodo,"Kirkos, Woreda 9, House 470",
762,Alemu,Habtamu,Wolde,Male,0915835034,,37,Harar,"Kolfe, Woreda 10, House 747",
763,Lidya,Girma,Gebre,Female,0788319213,,36,Hawassa,"Lideta, Woreda 10, House 105",
764,Lidya,Girma,Tesfaye,Female,0999497320,,30,Bahir Dar,"Kirkos, Woreda 10, House 151",
765,Abel,Hailu,Hailu,Male,0902876754,,65,Arba Minch,"Kirkos, Woreda 4, House 574",
766,Kalkidan,Abebe,Mulugeta,Female,0985819324,,92,Hawassa,"Kolfe, Woreda 9, House 453",
767,Saba,Tesfaye,Kebede,Female,0752057563,,79,Dessie,"Arada, Woreda 7, House 384",
768,Tadesse,Mulugeta,Abebe,Male,0909451548,,2,Bishoftu,"Lideta, Woreda 1, House 663",
769,Girma,Wolde,Kebede,Male,0909079772,,61,Sodo,"Nifas Silk, Woreda 2, House 40",
770,Selam,Mekonnen,Lemma,Female,0722161070,,41,Adama,"Nifas Silk, Woreda 5, House 874",
771,Eden,Gebre,Girma,Female,0752958066,,86,Shashemene,"Bole, Woreda 2, House 198",
772,Hana,Assefa,Desta,Female,0904938620,,40,Mekelle,"Nifas Silk, Woreda 6, House 121",
773,Hana,Kebede,Mekonnen,Female,0971112125,,76,Shashemene,"Bole, Woreda 3, House 808",
774,Frehiwot,Negash,Getachew,Female,0934324064,,23,Mekelle,"Yeka, Woreda 10, House 324",
775,Genet,Desta,Tesfaye,Female,0724474175,,75,Dire Dawa,"Gulele, Woreda 11, House 536",
776,Eyob,Mulugeta,Alemu,Male,0989365435,,90,Dessie,"Nifas Silk, Woreda 12, House 814",
777,Marta,Hailu,Worku,Female,0974018272,,60,Bishoftu,"Gulele, Woreda 6, House 578",
778,Eden,Desta,Tekle,Female,0750267551,,24,Debre Markos,"Gulele, Woreda 5, House 167",
779,Abel,Abebe,Hailu,Male,0997996673,,33,Sodo,"Gulele, Woreda 10, House 346",
780,Tesfaye,Habtamu,Lemma,Male,0781664969,,4,Hawassa,"Nifas Silk, Woreda 3, House 945",
781,Rediet,Kebede,Girma,Female,0992250142,,45,Jimma,"Kolfe, Woreda 3, House 472",
782,Samuel,Tesfaye,Wolde,Male,0912336132,,88,Dessie,"Gulele, Woreda 1, House 489",
783,Fikru,Assefa,Habtamu,Male,0937673162,,41,Arba Minch,"Yeka, Woreda 7, House 792",
784,Mahlet,Assefa,Gebre,Female,0981579039,,23,Arba Minch,"Arada, Woreda 6, House 371",
785,Yodit,Tesfaye,Negash,Female,0961327303,,39,Gondar,"Kirkos, Woreda 6, House 394",
786,Solomon,Bekele,Hailu,Male,0970462268,,14,Jimma,"Kirkos, Woreda 6, House 703",
787,Sara,Mulugeta,Bekele,Female,0929867076,,55,Arba Minch,"Bole, Woreda 5, House 436",
788,Frehiwot,Assefa,Worku,Female,0975851268,,50,Harar,"Kirkos, Woreda 3, House 8",
789,Habtamu,Wolde,Mulugeta,Male,0776074017,,59,Dire Dawa,"Bole, Woreda 10, House 703",
790,Solomon,Lemma,Bekele,Male,0708424560,,58,Dire Dawa,"Lideta, Woreda 11, House 37",
791,Yonas,Desta,Lemma,Male,0963218122,,82,Jimma,"Kolfe, Woreda 5, House 354",
792,Habtamu,Habtamu,Negash,Male,0901550291,,49,Dessie,"Kirkos, Woreda 6, House 950",
793,Samuel,Tadesse,Wolde,Male,0741613944,,79,Dessie,"Nifas Silk, Woreda 4, House 711",
794,Marta,Negash,Mekonnen,Female,0764248096,,24,Shashemene,"Lideta, Woreda 5, House 6",
795,Bekele,Lemma,Habtamu,Male,0944795133,,3,Sodo,"Gulele, Woreda 4, House 66",
796,Yodit,Desta,Girma,Female,0796958678,,2,Dire Dawa,"Gulele, Woreda 6, House 355",
797,Mulugeta,Gebre,Wolde,Male,0926460917,,72,Dire Dawa,"Kirkos, Woreda 4, House 766",
798,Mekonnen,Habtamu,Tekle,Male,0970299295,,73,Gondar,"Kolfe, Woreda 1, House 770",
799,Aster,Tesfaye,Hailu,Female,0982691163,,28,Adama,"Addis Ketema, Woreda 5, House 183",
800,Hewan,Hailu,Abebe,Female,0769455158,,69,Dessie,"Kolfe, Woreda 4, House 880",
801,Rahel,Bekele,Hailu,Female,0772264085,,60,Shashemene,"Yeka, Woreda 11, House 930",
802,Mahlet,Negash,Kebede,Female,0763093299,,65,Adama,"Addis Ketema, Woreda 10, House 750",
803,Tesfaye,Getachew,Tesfaye,Male,0971509688,,25,Harar,"Yeka, Woreda 8, House 378",
804,Kebede,Tesfaye,Desta,Male,0941039773,,88,Bishoftu,"Akaki, Woreda 4, House 816",
